O95479-2,H6PD,
O95573,ACSL3,
O95716,RAB3D,
O95816,BAG2,
P00156,MT-CYB,
P00441,SOD1,
P00738,HP,
P00915,CA1,
P00966,ASS1,
P01008,SERPINC1,
P01009,SERPINA1,
P01583,IL1A,
P02654,APOC1,
P02749,APOH,
P02753,RBP4,
P02763,ORM1,
P02766,TTR,
P02774-3,GC,
P02787,TF,
P02794,FTH1,
P04080,CSTB,
P04156,PRNP,
P04217,A1BG,
P04626,ERBB2,
P04632,CAPNS1,
P04905,Gstm1,
P05062,ALDOB,
P05114,HMGN1,
P05412,JUN,
P05452,CLEC3B,
P05543,SERPINA7,
P05997,COL5A2,
P06681,C2,
P06703,S100A6,
P06733-2,ENO1,
P07305,H1-0,
P07357,C8A,
P07919,UQCRH,
P07954,FH,
P08081,Clta,
P08559-4,PDHA1,
P08590,MYL3,
P08670,VIM,
P08708,RPS17,
P08962,CD63,
P09001,MRPL3,
P09238,MMP10,
P09382,LGALS1,
P09496-2,CLTA,
P09497-2,CLTB,
P09669,COX6C,
P0C0L4,C4A,
P0DOX5,P0DOX5,
P10412,H1-4,
P10606,COX5B,
P10888,Cox4i1,
P11142,HSPA8,
P11177,PDHB,
P11387,TOP1,
P11586,MTHFD1,
P11915,Scp2,
P11960,Bckdha,
P12081,HARS1,
P12259,F5,
P12268,IMPDH2,
P12270,TPR,
P12829,MYL4,
P13489,RNH1,
P13667,PDIA4,
P13674-2,P4HA1,
P13852,Prnp,
P14866,HNRNPL,
P15153,RAC2,
P16403,H1-2,
P16446,Pitpna,
P16573,Ceacam1,
P16615,ATP2A2,
P17066,HSPA6,
P17425,Hmgcs1,
P17661,DES,
P17931,LGALS3,
P17980,PSMC3,
P18077,RPL35A,
P18085,ARF4,
P18088,Gad1,
P18859-2,ATP5PF,
P19404,NDUFV2,
P19525,EIF2AK2,
P19627,Gnaz,
P20020-1,ATP2B1,
P20337,RAB3B,
P20591,MX1,
P20674,COX5A,
P20839-6,IMPDH1,
P20933,AGA,
P21670,Psma4,
P21796,VDAC1,
P22033,MMUT,
P22062,Pcmt1,
P22090,RPS4Y1,
P22570-3,FDXR,
P23141-2,CES1,
P23347,Slc4a2,
P23396,RPS3,
P23458,JAK1,
P23593,Apod,
P23786,CPT2,
P23919,DTYMK,
P24483,Fdx1,
P24723,PRKCH,
P25311,AZGP1,
P25325-2,MPST,
P25685,DNAJB1,
P27008,Parp1,
P27615,Scarb2,
P27635,RPL10,
P27797,CALR,
P27824-2,CANX,
P29147,Bdh1,
P29279,CCN2,
P29474,NOS3,
P29597,TYK2,
P29728,OAS2,
P29972,AQP1,
P29992,GNA11,
P30046,DDT,
P30101,PDIA3,
P30919,Aga,
P31327-3,CPS1,
P31749,AKT1,
P31939,ATIC,
P31949,S100A11,
P32189,GK,
P32198,Cpt1a,
P32969,RPL9,
P33121-3,ACSL1,
P33240,CSTF2,
P33991,MCM4,
P33992,MCM5,
P33993,MCM7,
P34931,HSPA1L,
P35244,RPA3,
P35249,RFC4,
P35250,RFC2,
P35268,RPL22,
P35555,FBN1,
P35579,MYH9,
P35580-3,MYH10,
P35610,SOAT1,
P35637,FUS,
P35749-2,MYH11,
P35754,GLRX,
P35998,PSMC2,
P36404,ARL2,
P36507,MAP2K2,
P36969,GPX4,
P36972,Aprt,
P37996,Arl3,
P38646,HSPA9,
P40429,RPL13A,
P40616,ARL1,
P40937,RFC5,
P40938,RFC3,
P40939,HADHA,
P41223-2,BUD31,
P41594,GRM5,
P42167,TMPO,
P42346,Mtor,
P42704,LRPPRC,
P42766,RPL35,
P42893-2,Ece1,
P43155,CRAT,
P43246,MSH2,
P43307,SSR1,
P43652,AFM,
P43686,PSMC4,
P43883,Plin2,
P43897-2,TSFM,
P45379,TNNT2,
P45880,VDAC2,
P46413,Gss,
P46459,NSF,
P46735,Myo1b,
P46779-3,RPL28,
P46781,RPS9,
P46783,RPS10,
P47245-2,Nrdc,
P47861,Syt5,
P48450,Lss,
P48735,IDH2,
P49257,LMAN1,
P49406,MRPL19,
P49411,TUFM,
P49432,Pdhb,
P49588,AARS1,
P49590,HARS2,
P49736,MCM2,
P50285,Fmo1,
P50443,SLC26A2,
P51151,RAB9A,
P51160,PDE6C,
P51178-2,PLCD1,
P51398,DAP3,
P51570,GALK1,
P51635,Akr1a1,
P51646,Arl5a,
P51665,PSMD7,
P51863,Atp6v0d1,
P52196,Tst,
P52825,Cpt2,
P52888,THOP1,
P53610,Pggt1b,
P54652,HSPA2,
P54760,EPHB4,
P54777,Pex6,
P54852,EMP3,
P54886,ALDH18A1,
P55084,HADHB,
P55854-2,SUMO3,
